taxonID	habitat
11468379	terrestrial
11468380	terrestrial
11468381	terrestrial
11468382	terrestrial
11468383	terrestrial
11468384	terrestrial
11468385	terrestrial
11468386	terrestrial
11468387	terrestrial
11468388	terrestrial
11468389	terrestrial
11468390	terrestrial
11468391	terrestrial
11468392	terrestrial
11468393	terrestrial
11468394	terrestrial
11468395	terrestrial
11468396	terrestrial
11468397	terrestrial
11468398	terrestrial
11468399	terrestrial
11468400	terrestrial
11468401	terrestrial
11468402	terrestrial
11468441	terrestrial
11468442	terrestrial
11468443	terrestrial
11468444	terrestrial
11468445	terrestrial
11468446	terrestrial
11468447	terrestrial
11468448	terrestrial
11468449	terrestrial
11468450	terrestrial
11468451	terrestrial
11468452	terrestrial
11468453	terrestrial
11468454	terrestrial
11468455	terrestrial
11468456	terrestrial
11468457	terrestrial
11468458	terrestrial
11468459	terrestrial
11468460	terrestrial
11468461	terrestrial
11468462	terrestrial
11468463	terrestrial
11468464	terrestrial
11468465	terrestrial
11468466	terrestrial
11468467	terrestrial
11468468	terrestrial
11468469	terrestrial
11468470	terrestrial
11468471	terrestrial
11468472	terrestrial
11468473	terrestrial
11468474	terrestrial
11468475	terrestrial
11468476	terrestrial
11468477	terrestrial
11468478	terrestrial
11468479	terrestrial
11468480	terrestrial
11468481	terrestrial
11468482	terrestrial
11468483	terrestrial
11468484	terrestrial
11468485	terrestrial
11468486	terrestrial
11468487	terrestrial
11468488	terrestrial
11468489	terrestrial
11468490	terrestrial
11468491	terrestrial
11468492	terrestrial
11468493	terrestrial
11468494	terrestrial
11468495	terrestrial
11468496	terrestrial
11468497	terrestrial
11468498	terrestrial
11468499	terrestrial
11468500	terrestrial
11468501	terrestrial
11468502	terrestrial
11468503	terrestrial
11468504	terrestrial
11468505	terrestrial
11468506	terrestrial
11468507	terrestrial
11468508	terrestrial
11468509	terrestrial
11468510	terrestrial
11468511	terrestrial
11468512	terrestrial
11468513	terrestrial
11468514	terrestrial
11468515	terrestrial
11468516	terrestrial
11468517	terrestrial
11468518	terrestrial
11468519	terrestrial
11468520	terrestrial
11468521	terrestrial
11468522	terrestrial
11468523	terrestrial
11468524	terrestrial
11468525	terrestrial
11468526	terrestrial
11468527	terrestrial
11468528	terrestrial
11468529	terrestrial
11468530	terrestrial
11468531	terrestrial
11468532	terrestrial
11468533	terrestrial
11468534	terrestrial
11468535	terrestrial
11468536	terrestrial
11468537	terrestrial
11468538	terrestrial
11468539	terrestrial
11468540	terrestrial
11468541	terrestrial
11468542	terrestrial
11468543	terrestrial
11468544	terrestrial
11468545	terrestrial
11468546	terrestrial
11468547	terrestrial
11468548	terrestrial
11468549	terrestrial
11468550	terrestrial
11468551	terrestrial
11468552	terrestrial
11468553	terrestrial
11468554	terrestrial
11468555	terrestrial
11468556	terrestrial
11468557	terrestrial
11468558	terrestrial
11468559	terrestrial
11468560	terrestrial
11468561	terrestrial
11468562	terrestrial
11468563	terrestrial
11468564	terrestrial
11468565	terrestrial
11468566	terrestrial
11468567	terrestrial
11468568	terrestrial
11468569	terrestrial
11468570	terrestrial
11468571	terrestrial
11468572	terrestrial
11468573	terrestrial
11468574	terrestrial
11468575	terrestrial
11468576	terrestrial
11468577	terrestrial
11468578	terrestrial
11468579	terrestrial
11468580	terrestrial
11468581	terrestrial
11468582	terrestrial
11468583	terrestrial
11468584	terrestrial
11468585	terrestrial
11468586	terrestrial
11468587	terrestrial
11468588	terrestrial
11468589	terrestrial
11468590	terrestrial
11468591	terrestrial
11468592	terrestrial
11468593	terrestrial
11468594	terrestrial
11468595	terrestrial
11468596	terrestrial
11468597	terrestrial
11468598	terrestrial
11468599	terrestrial
11468600	terrestrial
11468601	terrestrial
11468602	terrestrial
11468603	terrestrial
11468604	terrestrial
11468605	terrestrial
11468606	terrestrial
11468607	terrestrial
11468608	terrestrial
11468609	terrestrial
11468610	terrestrial
11468611	terrestrial
11468612	terrestrial
11468613	terrestrial
11468614	terrestrial
11468615	terrestrial
11468616	terrestrial
11468617	terrestrial
11468618	terrestrial
11468619	terrestrial
11468620	terrestrial
11468621	terrestrial
11468622	terrestrial
11468623	terrestrial
11468624	terrestrial
11468625	terrestrial
11468626	terrestrial
11468627	terrestrial
11468628	terrestrial
11468629	terrestrial
11468630	terrestrial
11468631	terrestrial
11468632	terrestrial
11468633	terrestrial
11468634	terrestrial
11468635	terrestrial
11468636	terrestrial
11468637	terrestrial
11468638	terrestrial
11468639	terrestrial
11468640	terrestrial
11468641	terrestrial
11468642	terrestrial
11468643	terrestrial
11468644	terrestrial
11468645	terrestrial
11468646	terrestrial
11468647	terrestrial
11468648	terrestrial
11468649	terrestrial
11468650	terrestrial
11468651	terrestrial
11468652	terrestrial
11468653	terrestrial
11468654	terrestrial
11468655	terrestrial
11468656	terrestrial
11468657	terrestrial
11468658	terrestrial
11468659	terrestrial
11468660	terrestrial
11468661	terrestrial
11468662	terrestrial
11468663	terrestrial
11468664	terrestrial
11468665	terrestrial
11468666	terrestrial
11468667	terrestrial
11468668	terrestrial
11468669	terrestrial
11468670	terrestrial
11468671	terrestrial
11468672	terrestrial
11468673	terrestrial
11468674	terrestrial
11468675	terrestrial
11468676	terrestrial
11468677	terrestrial
11468678	terrestrial
11468679	terrestrial
11468680	terrestrial
11468681	terrestrial
11468682	terrestrial
11468683	terrestrial
11468684	terrestrial
11468685	terrestrial
11468686	terrestrial
11468687	terrestrial
11468688	terrestrial
11468689	terrestrial
11468690	terrestrial
11468691	terrestrial
11468692	terrestrial
11468693	terrestrial
11468694	terrestrial
11468695	terrestrial
11468696	terrestrial
11468697	terrestrial
11468698	terrestrial
11468699	terrestrial
11468700	terrestrial
11468701	terrestrial
11468702	terrestrial
11468703	terrestrial
11468704	terrestrial
11468705	terrestrial
11468706	terrestrial
11468707	terrestrial
11468708	terrestrial
11468709	terrestrial
11468710	terrestrial
11468711	terrestrial
11468712	terrestrial
11468713	terrestrial
11468714	terrestrial
11468715	terrestrial
11468716	terrestrial
11468717	terrestrial
11468718	terrestrial
11468719	terrestrial
11468720	terrestrial
11468721	terrestrial
11468722	terrestrial
11468723	terrestrial
11468724	terrestrial
11468725	terrestrial
11468726	terrestrial
11468727	terrestrial
11468728	terrestrial
11468729	terrestrial
11468730	terrestrial
11468731	terrestrial
11468732	terrestrial
11468733	terrestrial
11468734	terrestrial
11468735	terrestrial
11468736	terrestrial
11468737	terrestrial
11468738	terrestrial
11468739	terrestrial
11468740	terrestrial
11468741	terrestrial
11468742	terrestrial
11468743	terrestrial
11468744	terrestrial
11468745	terrestrial
11468746	terrestrial
11468747	terrestrial
11468748	terrestrial
11468749	terrestrial
11468750	terrestrial
11468751	terrestrial
11468752	terrestrial
11468753	terrestrial
11468754	terrestrial
11468755	terrestrial
11468756	terrestrial
11468757	terrestrial
11468758	terrestrial
11468759	terrestrial
11468760	terrestrial
11468761	terrestrial
11468762	terrestrial
11468763	terrestrial
11468764	terrestrial
11468765	terrestrial
11468766	terrestrial
11468767	terrestrial
11468768	terrestrial
11468769	terrestrial
11468770	terrestrial
11468771	terrestrial
11468772	terrestrial
11468773	terrestrial
11468774	terrestrial
11468775	terrestrial
11468776	terrestrial
11468777	terrestrial
11468778	terrestrial
11468779	terrestrial
11468780	terrestrial
11468781	terrestrial
11468782	terrestrial
11468783	terrestrial
11468784	terrestrial
11468785	terrestrial
11468786	terrestrial
11468787	terrestrial
11468788	terrestrial
11468789	terrestrial
11468790	terrestrial
11468791	terrestrial
11468792	terrestrial
11468793	terrestrial
11468794	terrestrial
11468795	terrestrial
11468796	terrestrial
11468797	terrestrial
11468798	terrestrial
11468799	terrestrial
11468800	terrestrial
11468801	terrestrial
11468802	terrestrial
11468803	terrestrial
11468804	terrestrial
11468805	terrestrial
11468806	terrestrial
11468807	terrestrial
11468808	terrestrial
11468809	terrestrial
11468810	terrestrial
11468811	terrestrial
11468812	terrestrial
11468813	terrestrial
11468814	terrestrial
11468815	terrestrial
11468816	terrestrial
11468817	terrestrial
11468818	terrestrial
11468819	terrestrial
11468820	terrestrial
11468821	terrestrial
11468822	terrestrial
11468823	terrestrial
11468824	terrestrial
11468825	terrestrial
11468826	terrestrial
11468827	terrestrial
11468828	terrestrial
11468829	terrestrial
11468830	terrestrial
11468831	terrestrial
11468832	terrestrial
11468833	terrestrial
11468834	terrestrial
11468835	terrestrial
11468836	terrestrial
11468837	terrestrial
11468838	terrestrial
11468839	terrestrial
11468840	terrestrial
11468841	terrestrial
11468842	terrestrial
11468843	terrestrial
11468844	terrestrial
11468845	terrestrial
11468846	terrestrial
11468847	terrestrial
11468848	terrestrial
11468849	freshwater
11468849	terrestrial
11468850	terrestrial
11468851	terrestrial
11468852	terrestrial
11468853	terrestrial
11468854	terrestrial
11468855	terrestrial
11468856	terrestrial
11468857	terrestrial
11468858	terrestrial
11468859	terrestrial
11468860	terrestrial
11468861	terrestrial
11468862	terrestrial
11468863	terrestrial
11468864	terrestrial
11468865	terrestrial
11468866	terrestrial
11468867	terrestrial
11468868	terrestrial
11468869	terrestrial
11468870	terrestrial
11468871	terrestrial
11468872	terrestrial
11468873	terrestrial
11468874	terrestrial
11468875	terrestrial
11468876	terrestrial
11468877	terrestrial
11468878	terrestrial
11468879	terrestrial
11468880	terrestrial
11468881	terrestrial
11468882	terrestrial
11468883	terrestrial
11468884	terrestrial
11468885	terrestrial
11468886	terrestrial
11468887	terrestrial
11468888	terrestrial
11468889	terrestrial
11468890	terrestrial
11468891	terrestrial
11468892	terrestrial
11468893	terrestrial
11468894	terrestrial
11468895	terrestrial
11468896	terrestrial
11468897	terrestrial
11468898	terrestrial
11468899	terrestrial
11468900	terrestrial
11468901	terrestrial
11468902	terrestrial
11468903	terrestrial
11468904	terrestrial
11468905	terrestrial
11468906	terrestrial
11468907	terrestrial
11468908	terrestrial
11468909	terrestrial
11468910	terrestrial
11468911	terrestrial
11468912	terrestrial
11468913	terrestrial
11468914	terrestrial
11468915	terrestrial
11468916	terrestrial
11468917	terrestrial
11468918	terrestrial
11468919	terrestrial
11468920	terrestrial
11468921	terrestrial
11468922	terrestrial
11468923	terrestrial
11468924	marine
11468924	terrestrial
11468925	terrestrial
11468926	terrestrial
11468927	terrestrial
11468928	terrestrial
11468929	terrestrial
11468930	terrestrial
11468931	terrestrial
11468932	terrestrial
11468933	terrestrial
11468934	terrestrial
11468935	terrestrial
11468936	terrestrial
11468937	terrestrial
11468938	terrestrial
11468939	terrestrial
11468940	terrestrial
11468941	terrestrial
11468942	terrestrial
11468943	terrestrial
11468944	terrestrial
11468945	terrestrial
11468946	terrestrial
11468947	terrestrial
11468948	terrestrial
11468949	terrestrial
11468950	terrestrial
11468951	terrestrial
11468952	terrestrial
11468953	terrestrial
11468954	terrestrial
11468955	terrestrial
11468956	terrestrial
11468957	terrestrial
11468958	terrestrial
11468959	terrestrial
11468960	terrestrial
11468961	terrestrial
11468962	terrestrial
11468963	terrestrial
11468964	terrestrial
11468965	terrestrial
11468966	terrestrial
11468967	freshwater
11468967	terrestrial
11468968	terrestrial
11468969	terrestrial
11468970	terrestrial
11468971	terrestrial
11468972	terrestrial
11468973	terrestrial
11468974	terrestrial
11468975	terrestrial
11468976	terrestrial
11468977	terrestrial
11468978	terrestrial
11468979	terrestrial
11468980	terrestrial
11468981	terrestrial
11468982	terrestrial
11468983	terrestrial
11468984	terrestrial
11468985	terrestrial
11468986	terrestrial
11468987	terrestrial
11468988	terrestrial
11468989	marine
11468989	terrestrial
11468990	terrestrial
11468991	terrestrial
11468992	terrestrial
11468993	terrestrial
11468994	freshwater
11468994	terrestrial
11468995	freshwater
11468995	terrestrial
11468996	terrestrial
11468997	terrestrial
11468998	terrestrial
11468999	terrestrial
11469000	terrestrial
11469001	freshwater
11469002	freshwater
11469002	terrestrial
11469003	freshwater
11469003	terrestrial
11469004	freshwater
11469004	terrestrial
11469005	freshwater
11469006	freshwater
11469006	terrestrial
11469007	terrestrial
11469008	terrestrial
11469009	terrestrial
11469010	terrestrial
11469011	terrestrial
11469012	terrestrial
11469013	terrestrial
11469014	terrestrial
11469015	terrestrial
11469016	terrestrial
11469017	terrestrial
11469018	terrestrial
11469019	terrestrial
11469020	terrestrial
11469021	terrestrial
11469022	terrestrial
11469023	terrestrial
11469024	terrestrial
11469025	terrestrial
11469026	terrestrial
11469027	terrestrial
11469028	terrestrial
11469029	terrestrial
11469030	freshwater
11469031	terrestrial
11469032	freshwater
11469032	terrestrial
11469033	freshwater
11469033	terrestrial
11469034	terrestrial
11469035	terrestrial
11469036	terrestrial
11469037	terrestrial
11469038	terrestrial
11469039	freshwater
11469039	terrestrial
11469040	terrestrial
11469041	terrestrial
11469042	terrestrial
11469043	terrestrial
11469044	freshwater
11469044	terrestrial
11469045	freshwater
11469045	terrestrial
11469046	terrestrial
11469047	terrestrial
11469048	terrestrial
11469049	freshwater
11469049	terrestrial
11469050	terrestrial
11469051	terrestrial
11469052	terrestrial
11469053	terrestrial
11469054	terrestrial
11469055	terrestrial
11469056	freshwater
11469056	terrestrial
11469057	terrestrial
11469058	terrestrial
11469059	terrestrial
11469060	terrestrial
11469061	freshwater
11469061	terrestrial
11469062	terrestrial
11469063	terrestrial
11469064	terrestrial
11469065	terrestrial
11469066	freshwater
11469066	terrestrial
11469067	terrestrial
11469068	terrestrial
11469069	terrestrial
11469070	terrestrial
11469071	terrestrial
11469072	terrestrial
11469073	terrestrial
11469074	terrestrial
11469075	terrestrial
11469076	freshwater
11469076	terrestrial
11469077	terrestrial
11469078	terrestrial
11469079	terrestrial
11469080	terrestrial
11469081	terrestrial
11469082	terrestrial
11469083	terrestrial
11469084	terrestrial
11469085	terrestrial
11469086	terrestrial
11469087	terrestrial
11469088	terrestrial
11469089	terrestrial
11469090	terrestrial
11469091	terrestrial
11469092	terrestrial
11469093	terrestrial
11469094	terrestrial
11469095	terrestrial
11469096	terrestrial
11469097	terrestrial
11469098	terrestrial
11469099	terrestrial
11469100	terrestrial
11469101	terrestrial
11469102	terrestrial
11469103	terrestrial
11469104	terrestrial
11469105	terrestrial
11469106	terrestrial
11469107	terrestrial
11469108	terrestrial
11469109	terrestrial
11469110	terrestrial
11469111	terrestrial
11469112	terrestrial
11469113	terrestrial
11469114	terrestrial
11469115	terrestrial
11469116	terrestrial
11469117	terrestrial
11469118	terrestrial
11469119	terrestrial
11469120	terrestrial
11469121	terrestrial
11469122	terrestrial
11469123	terrestrial
11469124	terrestrial
11469125	terrestrial
11469126	terrestrial
11469127	terrestrial
11469128	terrestrial
11469129	terrestrial
11469130	terrestrial
11469131	terrestrial
11469132	terrestrial
11469133	terrestrial
11469134	terrestrial
11469135	terrestrial
11469136	terrestrial
11469137	terrestrial
11469138	terrestrial
11469139	terrestrial
11469140	terrestrial
11469141	terrestrial
11469142	terrestrial
11469143	terrestrial
11469144	terrestrial
11469145	terrestrial
11469146	terrestrial
11469147	terrestrial
11469148	terrestrial
11469149	terrestrial
11469150	terrestrial
11469151	terrestrial
11469152	terrestrial
11469153	terrestrial
11469154	terrestrial
11469155	terrestrial
11469156	terrestrial
11469157	terrestrial
11469158	terrestrial
11469159	terrestrial
11469160	terrestrial
11469161	terrestrial
11469162	terrestrial
11469163	terrestrial
11469164	terrestrial
11469165	terrestrial
11469166	terrestrial
11469167	terrestrial
11469168	terrestrial
11469169	terrestrial
11469170	terrestrial
11469171	terrestrial
11469172	terrestrial
11469173	terrestrial
11469174	terrestrial
11469175	terrestrial
11469176	terrestrial
11469177	terrestrial
11469178	terrestrial
11469179	terrestrial
11469180	terrestrial
11469181	terrestrial
11469182	terrestrial
11469183	terrestrial
11469184	terrestrial
11469185	terrestrial
11469186	terrestrial
11469187	terrestrial
11469188	terrestrial
11469189	terrestrial
11469190	terrestrial
11469191	terrestrial
11469192	terrestrial
11469193	terrestrial
11469194	terrestrial
11469195	terrestrial
11469196	terrestrial
11469197	terrestrial
11469198	terrestrial
11469199	terrestrial
11469200	terrestrial
11469201	terrestrial
11469202	terrestrial
11469203	terrestrial
11469204	terrestrial
11469205	terrestrial
11469206	terrestrial
11469207	terrestrial
11469208	terrestrial
11469209	terrestrial
11469210	terrestrial
11469211	terrestrial
11469212	terrestrial
11469213	terrestrial
11469214	terrestrial
11469215	terrestrial
11469216	terrestrial
11469217	terrestrial
11469218	terrestrial
11469219	terrestrial
11469220	terrestrial
11469221	terrestrial
11469222	terrestrial
11469223	terrestrial
11469224	terrestrial
11469225	terrestrial
11469226	terrestrial
11469227	terrestrial
11469228	terrestrial
11469229	terrestrial
11469230	terrestrial
11469231	terrestrial
11469232	terrestrial
11469233	terrestrial
11469234	terrestrial
11469235	terrestrial
11469236	terrestrial
11469237	terrestrial
11469238	terrestrial
11469239	terrestrial
11469240	terrestrial
11469241	terrestrial
11469242	terrestrial
11469243	terrestrial
11469244	terrestrial
11469245	terrestrial
11469246	terrestrial
11469247	terrestrial
11469248	terrestrial
11469249	terrestrial
11469250	terrestrial
11469251	terrestrial
11469252	terrestrial
11469253	terrestrial
11469254	terrestrial
11469255	terrestrial
11469256	terrestrial
11469257	terrestrial
11469258	terrestrial
11469259	terrestrial
11469260	terrestrial
11469261	terrestrial
11469262	terrestrial
11469263	terrestrial
11469264	terrestrial
11469265	terrestrial
11469266	terrestrial
11469267	terrestrial
11469268	terrestrial
11469269	terrestrial
11469270	terrestrial
11469271	terrestrial
11469272	terrestrial
11469273	terrestrial
11469274	terrestrial
11469275	terrestrial
11469276	terrestrial
11469277	terrestrial
11469278	terrestrial
11469279	terrestrial
11469280	terrestrial
11469281	terrestrial
11469282	freshwater
11469282	terrestrial
11469283	freshwater
11469283	terrestrial
11469284	freshwater
11469284	terrestrial
11469285	terrestrial
11469286	terrestrial
11469287	freshwater
11469287	terrestrial
11469288	terrestrial
11469289	freshwater
11469289	terrestrial
11469290	freshwater
11469290	terrestrial
11469291	freshwater
11469291	terrestrial
11469292	freshwater
11469292	terrestrial
11469293	freshwater
11469293	terrestrial
11469294	terrestrial
11469295	freshwater
11469295	terrestrial
11469296	freshwater
11469296	terrestrial
11469297	brackish
11469297	terrestrial
11469298	freshwater
11469298	terrestrial
11469299	freshwater
11469299	terrestrial
11469300	terrestrial
11469301	freshwater
11469301	terrestrial
11469302	terrestrial
11469303	freshwater
11469303	terrestrial
11469304	terrestrial
11469305	freshwater
11469305	terrestrial
11469306	terrestrial
11469307	terrestrial
11469308	terrestrial
11469309	terrestrial
11469310	terrestrial
11469311	terrestrial
11469312	terrestrial
11469313	terrestrial
11469314	terrestrial
11469315	terrestrial
11469316	terrestrial
11469317	terrestrial
11469318	terrestrial
11469319	terrestrial
11469320	terrestrial
11469321	terrestrial
11469322	terrestrial
11469323	freshwater
11469323	terrestrial
11469324	brackish
11469324	freshwater
11469324	terrestrial
11469325	terrestrial
11469326	terrestrial
11469327	terrestrial
11469328	terrestrial
11469329	terrestrial
11469330	terrestrial
11469331	terrestrial
11469332	terrestrial
11469333	terrestrial
11469334	terrestrial
11469335	terrestrial
11469336	terrestrial
11469337	terrestrial
11469338	terrestrial
11469339	terrestrial
11469340	terrestrial
11469341	terrestrial
11469342	terrestrial
11469343	terrestrial
11469344	terrestrial
11469345	terrestrial
11469346	terrestrial
11469347	terrestrial
11469348	terrestrial
11469349	terrestrial
11469350	terrestrial
11469351	terrestrial
11469352	terrestrial
11469353	terrestrial
11469354	terrestrial
11469355	terrestrial
11469356	terrestrial
11469357	terrestrial
11469358	terrestrial
11469359	terrestrial
11469360	terrestrial
11469361	terrestrial
11469362	terrestrial
11469363	terrestrial
11469364	terrestrial
11469365	terrestrial
11469366	terrestrial
11469367	terrestrial
11469368	terrestrial
11469369	terrestrial
11469370	terrestrial
11469371	terrestrial
11469372	terrestrial
11469373	terrestrial
11469374	terrestrial
11469375	terrestrial
11469376	terrestrial
11469377	terrestrial
11469378	terrestrial
11469379	terrestrial
11469380	terrestrial
11469381	terrestrial
11469382	terrestrial
11469383	terrestrial
11469384	terrestrial
11469385	terrestrial
11469386	terrestrial
11469387	terrestrial
11469388	terrestrial
11469389	terrestrial
11469390	terrestrial
11469391	terrestrial
11469392	terrestrial
11469393	terrestrial
11469394	terrestrial
11469395	terrestrial
11469396	terrestrial
11469397	terrestrial
11469398	terrestrial
11469399	terrestrial
11469400	terrestrial
11469401	terrestrial
11469402	terrestrial
11469403	terrestrial
11469404	terrestrial
11469405	terrestrial
11469406	terrestrial
11469407	terrestrial
11469408	terrestrial
11469409	terrestrial
11469410	terrestrial
11469411	terrestrial
11469412	terrestrial
11469413	terrestrial
11469414	terrestrial
11469415	terrestrial
11469416	terrestrial
11469417	terrestrial
11469418	terrestrial
11469419	terrestrial
11469420	terrestrial
11469421	terrestrial
11469422	terrestrial
11469423	terrestrial
11469424	terrestrial
11469425	terrestrial
11469426	terrestrial
11469427	terrestrial
11469428	terrestrial
11469429	terrestrial
11469430	terrestrial
11469431	terrestrial
11469432	terrestrial
11469433	terrestrial
11469434	terrestrial
11469435	terrestrial
11469436	terrestrial
11469437	terrestrial
11469438	terrestrial
11469439	terrestrial
11469440	terrestrial
11469441	terrestrial
11469442	terrestrial
11469443	terrestrial
11469444	terrestrial
11469445	terrestrial
11469446	terrestrial
11469447	terrestrial
11469448	terrestrial
11469449	terrestrial
11469450	terrestrial
11469451	terrestrial
11469452	terrestrial
11469453	terrestrial
11469454	terrestrial
11469455	terrestrial
11469456	terrestrial
11469457	terrestrial
11469458	terrestrial
11469459	terrestrial
11469460	terrestrial
11469461	terrestrial
11469462	terrestrial
11469463	terrestrial
11469464	terrestrial
11469465	terrestrial
11469466	terrestrial
11469467	terrestrial
11469468	terrestrial
11469469	terrestrial
11469470	terrestrial
11469471	terrestrial
11469472	terrestrial
11469473	terrestrial
11469474	terrestrial
11469475	terrestrial
11469476	terrestrial
11469477	terrestrial
11469478	terrestrial
11469479	terrestrial
11469480	terrestrial
11469481	terrestrial
11469482	terrestrial
11469483	terrestrial
11469484	terrestrial
11469485	terrestrial
11469486	terrestrial
11469487	terrestrial
11469488	terrestrial
11469489	terrestrial
11469490	terrestrial
11469491	terrestrial
11469492	terrestrial
11469493	terrestrial
11469494	terrestrial
11469495	terrestrial
11469496	terrestrial
11469497	terrestrial
11469498	terrestrial
11469499	terrestrial
11469500	terrestrial
11469501	terrestrial
11469502	terrestrial
11469503	terrestrial
11469504	terrestrial
11469505	terrestrial
11469506	terrestrial
11469507	terrestrial
11469508	terrestrial
11469509	terrestrial
11469510	terrestrial
11469511	terrestrial
11469512	terrestrial
11469513	terrestrial
11469514	terrestrial
11469515	terrestrial
11469516	terrestrial
11469517	terrestrial
11469518	terrestrial
11469519	terrestrial
11469520	terrestrial
11469521	terrestrial
11469522	terrestrial
11469523	terrestrial
